State,District,Year,Cashewnut_Area_Hectare,Cashewnut_Production_Tonnes,Cashewnut_Yield_Tonne_Hectare,Coconut_Area_Hectare,Coconut_Production_Nuts,Coconut_Yield_Nuts_Hectare,Ginger_Area_Hectare,Ginger_Production_Tonnes,Ginger_Yield_Tonne_Hectare,Sugarcane_Area_Hectare,Sugarcane_Production_Tonnes,Sugarcane_Yield_Tonne_Hectare,Sweet_potato_Area_Hectare,Sweet_potato_Production_Tonnes,Sweet_potato_Yield_Tonne_Hectare,Arecanut_Area_Hectare,Arecanut_Production_Tonnes,Arecanut_Yield_Tonne_Hectare,Banana_Area_Hectare,Banana_Production_Tonnes,Banana_Yield_Tonne_Hectare,Black_pepper_Area_Hectare,Black_pepper_Production_Tonnes,Black_pepper_Yield_Tonne_Hectare,Dry_chillies_Area_Hectare,Dry_chillies_Production_Tonnes,Dry_chillies_Yield_Tonne_Hectare,other_oilseeds_Area_Hectare,other_oilseeds_Production_Tonnes,other_oilseeds_Yield_Tonne_Hectare,Coriander_Area_Hectare,Coriander_Production_Tonnes,Coriander_Yield_Tonne_Hectare,Tobacco_Area_Hectare,Tobacco_Production_Tonnes,Tobacco_Yield_Tonne_Hectare,Turmeric_Area_Hectare,Turmeric_Production_Tonnes,Turmeric_Yield_Tonne_Hectare,Bhindi_Area_Hectare,Bhindi_Production_Tonnes,Bhindi_Yield_Tonne_Hectare,Brinjal_Area_Hectare,Brinjal_Production_Tonnes,Brinjal_Yield_Tonne_Hectare,Citrus_Fruit_Area_Hectare,Citrus_Fruit_Production_Tonnes,Citrus_Fruit_Yield_Tonne_Hectare,Cucumber_Area_Hectare,Cucumber_Production_Tonnes,Cucumber_Yield_Tonne_Hectare,Grapes_Area_Hectare,Grapes_Production_Tonnes,Grapes_Yield_Tonne_Hectare,Mango_Area_Hectare,Mango_Production_Tonnes,Mango_Yield_Tonne_Hectare,Orange_Area_Hectare,Orange_Production_Tonnes,Orange_Yield_Tonne_Hectare,Other_Fresh_Fruits_Area_Hectare,Other_Fresh_Fruits_Production_Tonnes,Other_Fresh_Fruits_Yield_Tonne_Hectare,Other_Vegetables_Area_Hectare,Other_Vegetables_Production_Tonnes,Other_Vegetables_Yield_Tonne_Hectare,Papaya_Area_Hectare,Papaya_Production_Tonnes,Papaya_Yield_Tonne_Hectare,Pome_Fruit_Area_Hectare,Pome_Fruit_Production_Tonnes,Pome_Fruit_Yield_Tonne_Hectare,Potato_Area_Hectare,Potato_Production_Tonnes,Potato_Yield_Tonne_Hectare,Tomato_Area_Hectare,Tomato_Production_Tonnes,Tomato_Yield_Tonne_Hectare,Cabbage_Area_Hectare,Cabbage_Production_Tonnes,Cabbage_Yield_Tonne_Hectare,Peas_vegetable_Area_Hectare,Peas_vegetable_Production_Tonnes,Peas_vegetable_Yield_Tonne_Hectare,Tapioca_Area_Hectare,Tapioca_Production_Tonnes,Tapioca_Yield_Tonne_Hectare,Bottle_Gourd_Area_Hectare,Bottle_Gourd_Production_Tonnes,Bottle_Gourd_Yield_Tonne_Hectare,Oilseeds_total_Area_Hectare,Oilseeds_total_Production_Tonnes,Oilseeds_total_Yield_Tonne_Hectare,Pulses_total_Area_Hectare,Pulses_total_Production_Tonnes,Pulses_total_Yield_Tonne_Hectare,Onion_Area_Hectare,Onion_Production_Tonnes,Onion_Yield_Tonne_Hectare,Pineapple_Area_Hectare,Pineapple_Production_Tonnes,Pineapple_Yield_Tonne_Hectare,Garlic_Area_Hectare,Garlic_Production_Tonnes,Garlic_Yield_Tonne_Hectare,Sannhamp_Area_Hectare,Sannhamp_Production_Tonnes,Sannhamp_Yield_Tonne_Hectare,Guar_seed_Area_Hectare,Guar_seed_Production_Tonnes,Guar_seed_Yield_Tonne_Hectare,Turnip_Area_Hectare,Turnip_Production_Tonnes,Turnip_Yield_Tonne_Hectare,Carrot_Area_Hectare,Carrot_Production_Tonnes,Carrot_Yield_Tonne_Hectare,Redish_Area_Hectare,Redish_Production_Tonnes,Redish_Yield_Tonne_Hectare,Arcanut_Processed_Area_Hectare,Arcanut_Processed_Production_Tonnes,Arcanut_Processed_Yield_Tonne_Hectare,Atcanut_Raw_Area_Hectare,Atcanut_Raw_Production_Tonnes,Atcanut_Raw_Yield_Tonne_Hectare,Peas_&_beans_Pulses_Area_Hectare,Peas_&_beans_Pulses_Production_Tonnes,Peas_&_beans_Pulses_Yield_Tonne_Hectare,Cashewnut_Processed_Area_Hectare,Cashewnut_Processed_Production_Tonnes,Cashewnut_Processed_Yield_Tonne_Hectare,Cashewnut_Raw_Area_Hectare,Cashewnut_Raw_Production_Tonnes,Cashewnut_Raw_Yield_Tonne_Hectare,Cardamom_Area_Hectare,Cardamom_Production_Tonnes,Cardamom_Yield_Tonne_Hectare,Rubber_Area_Hectare,Rubber_Production_Tonnes,Rubber_Yield_Tonne_Hectare,Bitter_Gourd_Area_Hectare,Bitter_Gourd_Production_Tonnes,Bitter_Gourd_Yield_Tonne_Hectare,Drum_Stick_Area_Hectare,Drum_Stick_Production_Tonnes,Drum_Stick_Yield_Tonne_Hectare,Jack_Fruit_Area_Hectare,Jack_Fruit_Production_Tonnes,Jack_Fruit_Yield_Tonne_Hectare,Snak_Guard_Area_Hectare,Snak_Guard_Production_Tonnes,Snak_Guard_Yield_Tonne_Hectare,Tea_Area_Hectare,Tea_Production_Tonnes,Tea_Yield_Tonne_Hectare,Coffee_Area_Hectare,Coffee_Production_Tonnes,Coffee_Yield_Tonne_Hectare,Cauliflower_Area_Hectare,Cauliflower_Production_Tonnes,Cauliflower_Yield_Tonne_Hectare,Other_Citrus_Fruit_Area_Hectare,Other_Citrus_Fruit_Production_Tonnes,Other_Citrus_Fruit_Yield_Tonne_Hectare,Water_Melon_Area_Hectare,Water_Melon_Production_Tonnes,Water_Melon_Yield_Tonne_Hectare,Ash_Gourd_Area_Hectare,Ash_Gourd_Production_Tonnes,Ash_Gourd_Yield_Tonne_Hectare,Beet_Root_Area_Hectare,Beet_Root_Production_Tonnes,Beet_Root_Yield_Tonne_Hectare,Lab-Lab_Area_Hectare,Lab-Lab_Production_Tonnes,Lab-Lab_Yield_Tonne_Hectare,Pome_Granet_Area_Hectare,Pome_Granet_Production_Tonnes,Pome_Granet_Yield_Tonne_Hectare,Ribed_Guard_Area_Hectare,Ribed_Guard_Production_Tonnes,Ribed_Guard_Yield_Tonne_Hectare,Yam_Area_Hectare,Yam_Production_Tonnes,Yam_Yield_Tonne_Hectare,Apple_Area_Hectare,Apple_Production_Tonnes,Apple_Yield_Tonne_Hectare,Peach_Area_Hectare,Peach_Production_Tonnes,Peach_Yield_Tonne_Hectare,Pear_Area_Hectare,Pear_Production_Tonnes,Pear_Yield_Tonne_Hectare,Plums_Area_Hectare,Plums_Production_Tonnes,Plums_Yield_Tonne_Hectare,Litchi_Area_Hectare,Litchi_Production_Tonnes,Litchi_Yield_Tonne_Hectare,Ber_Area_Hectare,Ber_Production_Tonnes,Ber_Yield_Tonne_Hectare,Other_Dry_Fruit_Area_Hectare,Other_Dry_Fruit_Production_Tonnes,Other_Dry_Fruit_Yield_Tonne_Hectare,Jute_&_mesta_Area_Hectare,Jute_&_mesta_Production_Tonnes,Jute_&_mesta_Yield_Tonne_Hectare,Sesamum_Area_Hectare,Sesamum_Production_Tonnes,Sesamum_Yield_Tonne_Hectare,Groundnut_Area_Hectare,Groundnut_Production_Tonnes,Groundnut_Yield_Tonne_Hectare,Sunflower_Area_Hectare,Sunflower_Production_Tonnes,Sunflower_Yield_Tonne_Hectare,Cottonlint_Area_Hectare,Cottonlint_Production_Bales,Cottonlint_Yield_Bales_Hectare,Mesta_Area_Hectare,Mesta_Production_Bales,Mesta_Yield_Bales_Hectare,Small_millets_Area_Hectare,Small_millets_Production_Tonnes,Small_millets_Yield_Tonne_Hectare,Arhar_Tur_Area_Hectare,Arhar_Tur_Production_Tonnes,Arhar_Tur_Yield_Tonne_Hectare,Bajra_Area_Hectare,Bajra_Production_Tonnes,Bajra_Yield_Tonne_Hectare,Castor_seed_Area_Hectare,Castor_seed_Production_Tonnes,Castor_seed_Yield_Tonne_Hectare,Gram_Area_Hectare,Gram_Production_Tonnes,Gram_Yield_Tonne_Hectare,Linseed_Area_Hectare,Linseed_Production_Tonnes,Linseed_Yield_Tonne_Hectare,Maize_Area_Hectare,Maize_Production_Tonnes,Maize_Yield_Tonne_Hectare,Rice_Area_Hectare,Rice_Production_Tonnes,Rice_Yield_Tonne_Hectare,Soyabean_Area_Hectare,Soyabean_Production_Tonnes,Soyabean_Yield_Tonne_Hectare,Wheat_Area_Hectare,Wheat_Production_Tonnes,Wheat_Yield_Tonne_Hectare,Barley_Area_Hectare,Barley_Production_Tonnes,Barley_Yield_Tonne_Hectare,Khesari_Area_Hectare,Khesari_Production_Tonnes,Khesari_Yield_Tonne_Hectare,Masoor_Area_Hectare,Masoor_Production_Tonnes,Masoor_Yield_Tonne_Hectare,Niger_seed_Area_Hectare,Niger_seed_Production_Tonnes,Niger_seed_Yield_Tonne_Hectare,Rapeseed_&Mustard_Area_Hectare,Rapeseed_&Mustard_Production_Tonnes,Rapeseed_&Mustard_Yield_Tonne_Hectare,Ragi_Area_Hectare,Ragi_Production_Tonnes,Ragi_Yield_Tonne_Hectare,Safflower_Area_Hectare,Safflower_Production_Tonnes,Safflower_Yield_Tonne_Hectare,Jowar_Area_Hectare,Jowar_Production_Tonnes,Jowar_Yield_Tonne_Hectare,MoongGreen_Gram_Area_Hectare,MoongGreen_Gram_Production_Tonnes,MoongGreen_Gram_Yield_Tonne_Hectare,Urad_Area_Hectare,Urad_Production_Tonnes,Urad_Yield_Tonne_Hectare,Horse-gram_Area_Hectare,Horse-gram_Production_Tonnes,Horse-gram_Yield_Tonne_Hectare,CowpeaLobia_Area_Hectare,CowpeaLobia_Yield_Tonne_Hectare,Total_foodgrain_Area_Hectare,Total_foodgrain_Production_Tonnes,Total_foodgrain_Yield_Tonne_Hectare
2. Andhra Pradesh,2. Chittoor,2002 - 2003,121,15,0.12,4296,17209269,4005.88,,,,39436,2684685,68.08,160,1739,10.87,,,,960,50841,52.96,,,,,,,,,,86,24,0.28,66,107,1.62,76,247,3.25,340,2533,7.45,1784,18027,10.1,232,1172,5.05,8,0,0,36,673,18.69,47834,335015,7,4,39,9.75,114,153,1.34,918,0,0,39,5087,130.44,66,3411,51.68,1126,9776,8.68,16838,139087,8.26,4,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Andhra Pradesh,2. Chittoor,2003 - 2004,124,33,0.27,4294,16827552,3918.85,,,,26845,1881888,70.1,177,1280,7.23,,,,587,21222,36.15,,,,,,,,,,119,31,0.26,2,3,1.5,60,417,6.95,382,3041,7.96,1664,18271,10.98,221,3750,16.97,1,0,0,32,555,17.34,48572,234579,4.83,6,96,16,459,149,0.32,686,0,0,17,1544,90.82,69,3933,57,1291,12045,9.33,19636,180151,9.17,73,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Andhra Pradesh,2. Chittoor,2004 - 2005,119,25,0.21,4165,31934060,7667.24,,,,21928,1865393,85.07,211,434,2.06,,,,586,30560,52.15,,,,,,,,,,125,30,0.24,4,4,1,88,794,9.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892,18727,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Andhra Pradesh,3. East godavari,2001 - 2002,34634,5151,0.15,48515,629772990,12981,,,,14255,1282665,89.98,60,797,13.28,7,12,1.71,10258,122822,11.97,,,,,,,,,,32,25,0.78,9071,14429,1.59,239,1033,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16781,140038,8.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Andhra Pradesh,3. East godavari,2002 - 2003,34227,975,0.03,49479,685943720,13863.33,,,,15425,1269570,82.31,75,810,10.8,7,10,1.43,7949,116270,14.63,,,,,,,,,,30,17,0.57,4577,12632,2.76,265,1421,5.36,717,13947,19.45,1889,21378,11.32,852,3785,4.44,35,0,0,,,,18957,92583,4.88,975,17315,17.76,224,962,4.29,3142,0,0,11,1435,130.45,391,5887,15.06,,,,681,4557,6.69,116,0,0,,,,12264,74651,6.09,44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Andhra Pradesh,3. East godavari,2003 - 2004,34019,3304,0.1,48854,683171460,13983.94,,,,16285,1397774,85.83,53,383,7.23,6,4,0.67,9547,67488,7.07,,,,,,,,,,51,39,0.76,6672,20151,3.02,222,1370,6.17,1060,11486,10.84,2783,66647,23.95,896,4738,5.29,32,0,0,,,,19181,47363,2.47,1015,15401,15.17,257,1106,4.3,3205,0,0,31,2815,90.81,361,4373,12.11,,,,738,7088,9.6,99,0,0,,,,18768,117826,6.28,116,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Andhra Pradesh,3. East godavari,2004 - 2005,33657,2902,0.09,49381,674125653,13651.52,,,,15965,1356801,84.99,60,549,9.15,,,,10324,96684,9.36,,,,,,,,,,22,14,0.64,4881,6777,1.39,416,3363,8.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19300,142087,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Andhra Pradesh,4. Guntur,2001 - 2002,150,41,0.27,491,5426352,11051.63,,,,1700,139080,81.81,55,1544,28.07,,,,7967,204939,25.72,,,,,,,,,,115,89,0.77,2857,4480,1.57,4266,22964,5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Andhra Pradesh,4. Guntur,2002 - 2003,150,19,0.13,399,4488408,11249.14,,,,1738,114932,66.13,58,1635,28.19,,,,6720,151697,22.57,,,,,,,,,,64,35,0.55,2592,2803,1.08,4625,29669,6.41,1644,10018,6.09,1169,23076,19.74,2007,8914,4.44,1555,0,0,,,,984,10186,10.35,288,5124,17.79,1359,6100,4.49,5007,0,0,87,11349,130.45,307,2323,7.57,,,,1067,7291,6.83,162,0,0,,,,,,,316,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Andhra Pradesh,4. Guntur,2003 - 2004,150,40,0.27,380,4497480,11835.47,,,,1547,110569,71.47,33,239,7.24,,,,5681,42238,7.43,,,,,,,,,,195,148,0.76,3181,7965,2.5,4289,30649,7.15,2308,14402,6.24,1231,17657,14.34,2020,10680,5.29,1888,0,0,,,,913,2552,2.8,959,14549,15.17,1350,6537,4.84,5430,0,0,88,7991,90.81,285,2476,8.69,,,,1478,14161,9.58,283,0,0,,,,,,,234,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Andhra Pradesh,4. Guntur,2004 - 2005,159,34,0.21,215,2528312,11759.59,,,,1972,150690,76.41,48,439,9.15,,,,6340,180798,28.52,,,,,,,,,,16,10,0.63,3872,7020,1.81,4846,34184,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,36,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Andhra Pradesh,5. Kadapa,2001 - 2002,7,2,0.29,148,530400,3583.78,,,,674,62755,93.11,62,823,13.27,,,,4074,132748,32.58,,,,,,,,,,16141,4567,0.28,81,82,1.01,2470,12204,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Andhra Pradesh,5. Kadapa,2002 - 2003,7,1,0.14,155,658350,4247.42,,,,1063,78516,73.86,40,432,10.8,,,,4574,299574,65.49,,,,,,,,,,11945,2377,0.2,174,170,0.98,3153,10228,3.24,207,1542,7.45,489,6912,14.13,6057,30751,5.08,17,0,0,,,,17743,88929,5.01,3178,25978,8.17,1705,492,0.29,433,0,0,3132,408557,130.45,109,5647,51.81,,,,2443,26194,10.72,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Andhra Pradesh,5. Kadapa,2003 - 2004,7,2,0.29,104,406980,3913.27,,,,555,40233,72.49,77,557,7.23,,,,3771,158827,42.12,,,,,,,,,,10370,2634,0.25,389,489,1.26,2476,17221,6.96,240,2074,8.64,520,7959,15.31,5777,97833,16.93,22,0,0,,,,17864,359248,20.11,3378,56464,16.72,1782,620,0.35,345,0,0,2272,281598,123.94,111,6330,57.03,,,,3181,39828,12.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Andhra Pradesh,5. Kadapa,2004 - 2005,7,2,0.29,95,725372,7635.49,1,3,3,377,33563,89.03,88,181,2.06,,,,3396,197474,58.15,,,,,,,,,,2249,547,0.24,85,94,1.11,2826,25505,9.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Andhra Pradesh,6. Krishna,2001 - 2002,803,220,0.27,1789,19782864,11058.06,14,37,2.64,10690,1112198,104.04,12,160,13.33,4,7,1.75,1556,3946,2.54,,,,,,,,,,25,19,0.76,3784,6551,1.73,2081,7976,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,58,8.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Andhra Pradesh,6. Krishna,2002 - 2003,478,59,0.12,1889,21255984,11252.51,12,20,1.67,15203,1535260,100.98,12,130,10.83,18,26,1.44,1346,20586,15.29,,,,,,,,,,14,8,0.57,3832,9414,2.46,1711,8141,4.76,656,5093,7.76,906,11965,13.21,612,2718,4.44,681,0,0,,,,62800,234926,3.74,47,841,17.89,396,1217,3.07,2364,0,0,23,3000,130.43,986,8591,8.71,,,,1322,9348,7.07,341,0,0,3,0,0,2,12,6,135,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Andhra Pradesh,6. Krishna,2003 - 2004,355,95,0.27,1726,20407920,11823.82,13,37,2.85,17524,1322046,75.44,22,159,7.23,18,13,0.72,1249,15574,12.47,,,,,,,,,,11,8,0.73,4136,7924,1.92,1410,12243,8.68,610,5673,9.3,905,17203,19.01,646,3418,5.29,687,0,0,,,,62652,147294,2.35,49,743,15.16,351,1453,4.14,2502,0,0,18,1635,90.83,981,11741,11.97,,,,1650,16110,9.76,288,0,0,,,,,,,106,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Andhra Pradesh,6. Krishna,2004 - 2005,337,72,0.21,1693,19892568,11749.89,8,22,2.75,18699,1884261,100.77,16,146,9.13,,,,1543,19223,12.46,,,,,,,,,,14,9,0.64,5097,9589,1.88,1806,25065,13.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Andhra Pradesh,7. Kurnool,2001 - 2002,,,,110,374400,3403.64,,,,48,4175,86.98,16,212,13.25,,,,2704,29845,11.04,,,,,,,,,,25112,10271,0.41,13217,13309,1.01,878,4338,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Andhra Pradesh,7. Kurnool,2002 - 2003,,,,100,425733,4257.33,,,,80,5906,73.83,17,184,10.82,,,,1862,49164,26.4,,,,,,,,,,17839,5584,0.31,7240,6830,0.94,878,2848,3.24,6908,51451,7.45,997,29822,29.91,98,497,5.07,141,0,0,,,,3021,14250,4.72,769,6280,8.17,549,948,1.73,1481,0,0,186,24263,130.45,139,7213,51.89,1,5,5,21469,142009,6.61,2,0,0,,,,,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
